 诺基亚5230	 2013-04-17 230903	 省电，相对安卓。然后就没了。。。。	 好慢，扫描500多首歌用了10分钟。。。我去，软件安装也慢，反正一个字，慢。但是考虑到400mhz的U达到这样的水平我应该写到优点里去吧，	 诺基亚放弃塞班真不明智，塞班继续改改，还是能够非常好用的，可惜现在诺基亚越来越烂了
 三星I9018（Galaxy S）	 2012-11-22 093210	 性能还不错，各方面都还可以，就是没led闪光，总体来说还可以	 刚入手不到半个月就悲剧了，充不上电，自动关机两问题	 水的不包修，最好别买
 三星I9018（Galaxy S）	 2012-11-01 114442	 总体用的还行 无论是软件的运行还是一些大型游戏 都还好 4.0的屏幕够用的 手感不错 	 ram 真心小了点	 今年买的1250 我也怕是翻新的 用了好多评测软件都显示正常 无错 不过就是屏幕有点偏色求大神指点一二
 三星I9018（Galaxy S）	 2012-10-26 154555	     手机现在恨不得每个星期都有新产品出来，所以我现在买手机不再去追最新的，只会去找性价比最好的，i9000绝对算一款吧，有人说偏色，有人说卡顿，有人说解析度，我只能这么说，毕竟这款机子已经出来这么久，比流畅肯定比不上最新款，不过，如果你ROOT了，刷过一些ROM了，自己动手DIY调些东西，我觉得用的不差，现在他们双核四核能玩的，我们照样上，这两天下的狂野之血，流畅无卡顿，还有早一点的血之荣耀什么的，都玩的很好，偏色和卡顿可以通过一些软件和ROM来解决，能解决的就不是问题，解析度720我觉得已经很好了，再高的话也没多大意义，你屏幕就那么大，也够用了。	 缺点不用说了，电池，续航能力确实不行，不过摩米士出了一款好像是2500毫安的电池，买那个的话，就应该OK了，然后就是LED灯，这是硬伤。。。	 反正我觉得我这手机买的值得 呵呵
 三星I9018（Galaxy S）	 2012-08-23 031638	 单核的机王吧。现在还可以玩大型的游戏。sa屏幕依然清晰靓丽。话听还是很很清楚。4.0寸的大屏绝对不会输给现在的手机。兼容性也很高跑分还可以跑到3400.绝对是一部好机。	 366RAM有点小。玩一些大型游戏会有点烫。后壳有一股不知道什么的味道。有人说焦味。感觉机子没事。有时会卡一顿。不过很快就没。	 是一部值得入手的好手机。
 三星I9018（Galaxy S）	 2012-08-01 205130	 游戏之王,AMOLED屏幕显示效果相当好,拿来打游戏屏幕效果同为4寸者无其它出其右,软件兼容性非常好,两年前出的机器到现在依然可以兼容运行市面上所有的大型小型新游戏及应用程序,比现在的二核四核强机还要牛,不愧是三星银河系列第一代机王,信号强度高,比诺基亚强点,通话质量也不错,但是音质比诺亚基那天下第一的语音稍微差一点点	 运存太小,虽然是机王但是两年前的,512M ram除机器占用剩336,系统再占用一些,仅剩不足200M ram,虽然可以跑市场上所有的大游戏,但有些占运存大的还是吃不消,比如圣徒之城,GTA3等,1G的CPU解码也只能到720P,不过够了.	 缺点还是Ram太小,如果运存能到一G的话,这个机器再用个五到十年是木有什么问题的,完全不输现在的双核四核机,是个让人用起比较爽的机器,机王还是机王,是有道理的,
 三星I9018（Galaxy S）	 2012-07-18 135649	 功能很多啊。。除了基本的配置，GPS什么的不错。拍照的功能很多。屏幕刚刚好	 摄像头的像素再高些就好了，到800W。另外，系统升到安卓4.0更好。。再接再厉。。	 买了也不亏吧
 三星I9018（Galaxy S）	 2012-06-25 191608	 手机非常薄，手感很好。运行速度很快，可以升级安卓4.0系统。不愧是受关注最高的手机。	 价格太高，待机时间太短。	 整体来说还是挺不错的，就是出去玩需要被两块电池。没办法这是安卓系统的通病
 三星I9018（Galaxy S）	 2012-06-17 173501	 还不错，看电视视频很清晰	 刚买的，后来才发现是韩版的，没办法 便宜啊1300 运行内存才355M，平时基本上只剩25%内存，经常很卡，感觉上当了机器应该是翻新机，从摄像头上看出来的	 先用着，总体上还能用一段时间 
 三星I9018（Galaxy S）	 2012-05-24 093241	 用了3个月，各方面一直感觉很好，系统改了几次，越来越人性化。总体来说算是XT800的超升级版。打机的感觉爽爆	 拿着这个天天不是被人说苹果就是说山寨唉。GOOGLE原本的扫描仪和地图和android market都被河蟹了，这方面就比不上XT800了。还有个问题是升温超快，貌似温度会影响返回键。为了推广，最好卖便宜一些了。水货I9K原本可是主打性价比的啊～	 实话实说，现今这机虽然是android 3D游戏王者。但android现在硬件升级火箭般速度，类比台式机的环境情况。下年的android 3D游戏可能这机玩就会卡了。
 三星I9018（Galaxy S）	 2012-05-24 093241	 1.三星SUPER AMOLED是现在市面最好的屏幕，分辨率的确不如LG的镜面屏，但色彩显示层次不是镜面屏能比的，S A屏的亮度和能耗也优于镜面屏，4寸的尺寸虚拟键用起来很舒服。2.独立GPU，这是这部机器的强大之处，3D 720p手到擒来。3.android第一部支持视频通话的机器，丰满了android对于3g业务的需要。4.手感极佳，分量轻，拿着很舒服。	 1.没闪光灯是最大的遗憾，作为旗舰真的不应该。2.储存读写速度是galaxy s的瓶颈，不过现在有了缓解办法。3.版本太多，让人很难选择。	 总有人喜欢把Galaxy S和iphone 4比，我想说请用自己的眼睛去证实。没有完美的实物，但galaxy s的缺点远远少于iphone 4，所以不要被误导：1 比屏，论细腻度，两者分辨率相差不多，论显示效果，s a屏更加的真实生动。放个颜色鲜艳的动态壁纸，一目了然。2.galaxy s确实是塑料材质，但手感和做工上乘，不比金属机身的手感差，iphone 4为了追求信号，必须有壳。所以galaxy s在厚度和重量上完胜。3.galaxy s用的是大众的sim，而iphone 4用的micro sim，如果你想换个机子用。galaxy s可以实现，但iphone 4必须去联通换卡；作为智能旗舰，电老虎是肯定的，外出galaxy s可以备用电池，iphone 4不行。galaxy s对的起她3200的价格，即使是i909也很划算。
 三星I9018（Galaxy S）	 2012-05-14 205620	 没感觉出来有什么优点，要说流畅，我弟弟的I9000不如我的HTC G11，要说续航，也没感觉有优势，价格也没优势，其他还有什么出彩的？我弟弟果断卖了换IPHONE 4S了。	 最开始，我弟弟跟我说，这个手机，都说三星屏幕好，然后跟我的HTC G11一对比，颗粒感巨重，我老弟郁闷死了，跟我说被三星骗了，其实三星的屏幕吹牛逼行，你仔细和其他手机对比下，你会发现三星屏也不知道是液晶颗粒排列的问题还是什么别的，总之总有种粗糙的感觉，连我新买的拿来当热点的中兴U880的屏幕都不如，要知道，中兴U880才650买的啊！	 一般中一般的手机，相当的一般。真的
 三星I9018（Galaxy S）	 2012-05-01 114822	 游戏没有卡顿现象，拍照给力，尤其是视屏，超薄，看起来够帅气。价格还便宜。	 电池不行，所有智能机的弊端吧，上会网，听听音乐，一天一充，专门看视屏的话也够五六小时吧。内存不够用开机之后还剩100左右了。	 现在的价格，性价比还是超高的。水的运气不错的话，可以入手。
 三星I9018（Galaxy S）	 2012-04-18 093040	 机身轻薄，整体外观还可以	 照相时出现整屏的彩色条纹，完全没有图像。	 买了这款手机拿回家把所有功能尝试一遍，发现问题了赶紧找卖家。
 三星I9018（Galaxy S）	 2012-03-21 201113	 速度不错，玩大型游戏，比如不朽的奇迹、地牢猎人2、N.O.V2、都市赛车5啊6啊 极品飞车13啊 速度与激情5啊 怪物史莱克赛车啊 背刺啊 汤姆猫啊 植物大战僵尸啊 斯巴达战士啊 阿凡达啊 水果忍着 和大家熟知的小鸟 都运行冒得问题 罪恶都市2运行的贴图有问题 所以没有玩。 至于软件 什么QQ啊UC都可以用，系统自带的浏览器看网页跟电脑一样。很8错。 系统滑动也很流畅~~~~ 可以使用平板电脑的PAD版的QQ,个人比较喜欢 我买的是港行货，价格1500可以接受感觉不错，一个星期体验，也很不错，跟苹果比起来 外观也毫不逊色，功能也不差 	 就是不能升级安卓。是个问题 希望移动能关注这款机子便是把OSM系统升级一下，也可以的。更希望能够升级安卓2.2或者2.3 因为安装软件都在机身内部。。。很不方便。。 OMS是基于2.1开发的，而2.2才能选择安装在外部的SD卡上。	 总的来说，1500多块钱，买这么一款手机，很不错了！ 
 三星I9018（Galaxy S）	 2012-02-05 180552	 4.0 SA屏，看电影 玩手机都很爽。 在室外显示效果很好。ROM多。	 没补光灯， RAM不够用， 玩一些大型游戏运行并不是那么的流畅。 再就是后盖没手感， 包上硅胶套要好点，	 总体来说还是不错的把，入手到现在没怎么死过机， 游戏啊 比如地牢2 极品13 现代3 都完美运行。  我刷的MIUI。 
 三星I9018（Galaxy S）	 2012-02-03 184201	 屏幕够大，整体的功能很强大，屏幕的分辨率虽然比不上“爱疯”，但是已经不错了，看电影爽啊！我朋友买了部S5830，跟我比较了一下，外观虽然没差多少，就他的分辨率就差一大节	 缺点也不多，就是一般大屏幕都有的缺点，电池不够用，还有就是后壳很容易烂，总体是很好的，很值得	 值得去买，现在8GB的只用2000多
 三星I9018（Galaxy S）	 2012-02-01 103924	 屏幕大 机身轻薄 屏幕绚丽 上网速度快 各种大型游戏一点也不卡 功能吗 不用说 必须给力 本人非常欣赏手机电视功能 、、、、	 电池也太不给力了 我几乎没怎么用 电量只坚持了9个小时 一天都没到 不过幸好我有备用电池 至于大家说的爱沾染指纹的事 我贴了一个三星手机原厂膜 手感很好 不沾指纹 就是有点贵 要是和老板没点交情的话 一张膜要90块钱 我是从朋友这买的 手机+电池+膜 总共2800	 总的说起来 这款机子很值得入手！！！强烈推荐！！！
 三星I9018（Galaxy S）	 2012-01-19 201027	 全部东西弄完，2500元左右，跟朋友买的。之前是用x6的，那款实在说是很喜欢，不过系统太无聊。偏爱三星的牌子，找了很多，价钱和好评上就数它好一些，至于它的优点我就不说了。电池也不觉得像大家说的那样，或许是看大家怎么用的吧，一直玩游戏五个小时也算正常的，不怎么用一天或则两天都ok，不过换了新的电池，例如飞毛腿的，感觉要漏电，卖家说是新电池的缘故，用多几次就没事，现在用的话，感觉已经没那么快漏完电了。	 没有闪光灯，没有通话录音，需要利用其他的软件关闭系统…其他的用的不多，所以没有在意。对于安卓的系统还不是很了解，在秋叶原里刷过一次机之后，只要有不懂的东西就跑去问他们，连自己都觉得不好意思了。	 反正我是蛮喜欢这部了！
 三星I9018（Galaxy S）	 2012-01-01 184238	 1.屏幕尺寸合适，分辨率主流，色彩极为艳丽，黑色非常纯黑，红、绿、蓝等颜色的饱和度都超过tft材质一大截，屏幕对比度强，看电影动态效果好。2.机身较轻薄，手感尚可，携带还算方便。我不喜欢很重的手机。3.配件、rom和软件多。4.处理器和gpu性能在当时较为出色，基本不会卡。	 缺点也不少，如果让我再次选择，我可能需要考虑是否买三星的机子。1.还是屏幕，（1）pentile排列，使得显示细小字体有毛刺感，阅读时不太爽；（2）色彩过于艳丽浓重饱和，且颜色偏冷，初看很惊艳，看久了就很疲劳；（3）sa屏最低亮度太高，夜间很伤眼，得用护目镜，长时间看眼睛很不舒服。（4）亮度调到很低时，色彩过渡不均匀，会突然变红。（5）屏幕左边有一条绿线。。。总结：这屏幕适合商业展示，比较狂野，用久了视力感觉都退化了。2.ram不足，标称512，系统占用后，平时就剩了150m左右，很容易就内存不足，越来越力不从心3.后盖材质是光塑料，手感不好4.尺寸略大，握持不便。	 优缺点都很突出
 三星I9018（Galaxy S）	 2011-12-14 193950	 8G版实体店拿的，老板说港版不是翻新机，经和网上测试有7 8成吧。屏幕很漂亮 硬件还能跟上主流暂时不会落伍 软件丰富照片光线好的话还是很好的 使用5天没死过机 比原来的诺基亚N78好的太多	 无闪光灯  屏幕大耗电 不怎么玩一般接打电话也就2天 其他还没发现	 2300  值得拥有
 三星I9018（Galaxy S）	 2011-12-05 210107	 屏幕各方面都还可以，摄像头表现一般，机身的局部处理不够	 显示屏容易沾上指纹，看起来让人很不爽	 Ophone系统不能升级，制约了机型的发展
 三星I9018（Galaxy S）	 2011-11-24 085928	 帅气，大方，功能多。	 电池不给力，随便玩玩，这能续航一天。如果双卡就更好。	 优秀。4分。
 三星I9018（Galaxy S）	 2011-11-16 024730	 介个就算没用过的人也知道了我就不废话了。	 和同事的iphone 4对比，爱疯的分辨率没话说，的确清晰，九千岁还是有点颗粒感的，实话实说，还有一点，就是手感差点，不是说做工的问题，要是金属的后盖那就完美，看电影那叫个爽啊，就是不懂安卓，我的不能直接播放RMVB，可以播放720P，MKV格式的电影不卡但是无字幕，可以用SRT文件字幕九千支持，听说李大的系统可以解决RMVB的问题，当然也足够了。电池买了两块，这个不废话	 总结一下，说说我的心理吧，买手机之前好想拥有他，幻想拿到后要怎么样怎么样装装游戏，看看电影，看看视频，可买回来后，三分热度，基本除了打电话哈，然后上厕所，坐公交，玩下外，其他时间都在裤兜里，够用就行了，手机就是手机，至少现在还是手机不能代替电脑，对我来说够用了
 三星I9018（Galaxy S）	 2011-11-16 003915	 四月份买的，半年多了，系统2.2的，屏幕在强光下的表现的确没的说，其他的优点。。。大家都说了太多了。。。。	 程序装多了，运行起来似乎没以前流畅了。	 1.轻。
 三星I9018（Galaxy S）	 2011-11-14 135219	 1.1Gz处理器，是TD手机中最强的了； 2.TD网络，很难得； 3.外形与三星i9000系列很像。	 1.三星i9008的CPU是由TI制造的OMAP3系列，而三星i9000系列的CPU是强劲性能的Hummingbird！ 2.OPhone系统使使用体验和扩展性大打折扣； 3.太多的移动定制内容让人崩溃。	 说实话，这已是TD手机中的最强者了，如果降到3000左右还是可以购买的。但是三星用i9000的外形和偷换的配置来糊弄移动用户就不对了，还不如另出个名字比较好。i9008的确不是i9000的移动定制版，这点千真万确。
 三星I9018（Galaxy S）	 2011-10-28 155114	 外观超薄沉稳大气	 电池不给力（正常不玩机2天左右）	 以现在的价格，个人感觉比ME525性价比要高很多
 三星I9018（Galaxy S）	 2011-10-27 202449	 运行速度很好，屏幕够舒服，刷的2.3.3版本。我只用来接电话发信息，游戏有TOUCH4，浏览网站，看小说有IPAD2。	 运行某些程序时会强制关闭，接听电话时会有电流声，不知该怎么办，有谁帮帮忙，另外电池可以用上1-2天。后面摄像头被我按的在里面来回滑动，不知道是机器是假的还是什么原因？后盖偶尔按的时候会有声音。	 电流声，咋解决  555  还有是否是港版的呢   网上现在查的别人说都是假的，可以改   555
 三星I9018（Galaxy S）	 2011-10-26 103915	 2010年卖出了多少部就能知道了。用了1个月，整机操作很流畅，屏幕不用说了，买点之一就是这屏幕，我不怎么玩游戏，但是这手机给人的感觉不错，虽然手感欠佳，但是能做到这么薄的机体，同时还担当如此的出色硬件搭配，可不是开玩笑的，谁用谁喜欢。别动不动就跟IPHONE4比，人家是大主屏分辨率，比我们高，但是屏幕比我们小，所以屏幕显示很细腻。	 电池咯，电容屏的手机电池都是不耐用的，这么薄机身能搭配这样的电池已经不错的啦。想电池耐用，可以搭配另一款电池2700毫安的，不过挺厚的，也有网友说有手感多了。	 很不错啦！我是1月份买的，就是看他2010年各方面出色表现才决定买的，有人说干嘛不等双核，等到什么时候啊，早买早享受。如果你是用手机很粗心大意的人，你买这手机要小心咯，因为太薄手感一般，而且整体材料以塑料为主，不耐摔，最好搭配手机套，哇胶材料的不错。几十块一个，有手感点。
 三星I9018（Galaxy S）	 2011-10-20 213434	 2160大洋入手10天，不是翻新机，亚太版的，选机的时候看中了9000   9023   G10   LI15T 这几个，然后跑到手机城去叫卖家把4个机器都拿出来，对比了一下外观，感觉9000很不错，特别是屏幕很靓丽，性能和配置在网上早已有所了解，机器的处理速度还比较快，当场叫老板刷了李大的系统，回家过三天自己又刷了MIUI，运行了几天一切正常	 电池一天一充，不过这也很正常，大屏机的通病，这不能算是缺点	 停产了的机器，价格跌倒了谷底，性价比很高，但是市面上还是有少量原装机，要注意辨别
 三星I9018（Galaxy S）	 2011-09-26 013621	 性能强劲，cpu为cortex-a8中顶尖的三星蜂鸟处理器，3d性能可与NVIDIA tegra2比高。而其super amoled显示屏更是惊艳无比。更难能可贵的是，水货价格平易近人。	 无陀螺仪，无闪光灯，前置摄像头仅30万像素。	 值得拥有！
 三星I9018（Galaxy S）	 2011-09-19 142718	 1.屏幕色彩艳丽，在阳光下也能看得清.4英寸屏大小适中，有前置摄像头.2.硬件配置还不算落伍，整机运行流畅.摄像效果还是很好的.3.刷机感觉比其他机器有优势.	 1.太轻...没买前还以为轻一点更方便，买了才后悔，反正感觉很不实在.....2.颗粒感个人感觉不喜欢，总有种有瑕疵的感觉.3.屏幕太艳在晚上关灯后很刺眼，看久了会很累..4.无闪光灯	 现在i9000已经没有太多的水份，价格适中，如果可以接受它的缺点，机器还是不错的.
 三星I9018（Galaxy S）	 2011-09-18 164445	 首先要讲的是屏幕，很舒服很亮，分辨率很高。其次是拍照，很清晰，虽然只有500w但是效果很好，尤其是光线好的时候，拍出来的效果真当好。再者就是速度，运行速度很快，看电影玩游戏都很舒服。最后就是手感跟屏幕外观，看上去很舒服，很薄。我同学买了个me525，感觉跟我的i9000真不是一个档次的，各个方面都要比525领先很多。	 后盖不好。机子玩游戏容易发热。还有就是待机不是很给力。老妈拿我的跟他们的诺基亚（200元）比，确实有点不给力了。	 很nice 很实惠，不过感觉可以去买i9100了，马上价钱相差不是很大了。i9100性能全面升级一个档次了。
 三星I9018（Galaxy S）	 2011-08-25 172527	 运行流畅，屏幕色彩真的很绚丽。如果在光线充足的情况下，拍照不错！	 WIFI信号较差，	 入手已经4个多月了，整体感觉不错，值得入手，
 三星I9018（Galaxy S）	 2011-08-07 200221	 4.0英寸屏幕不大不小 用起来正好 led屏幕非常亮 但是像网上说的在太阳下也能看的很清楚就太夸张了 只是比一般的材质屏幕稍微好点 视觉效果不错 离远点看有点iphone4的味道 1g主频 720p摄像运行起来还是非常流畅的 电池不怎么玩的话可以待机2-3天左右	 没有闪光灯的确感觉非常不厚道 死机没出现过 只是有时会有xx程序错误 运行停止强制关闭什么的 我也不懂那是什么不过也不影响使用。	 手机还是很不错的 买了没有后悔 就是买贵了 2700买的 可以买16G的了 2500以内绝对是款性价比不错的机型值得入手 个人感觉非常好
 三星I9018（Galaxy S）	 2011-08-02 214553	 速度不错，玩大型游戏，比如不朽的奇迹、地牢猎人2、N.O.V2、都市赛车5啊6啊 极品飞车13啊 速度与激情5啊 怪物史莱克赛车啊 背刺啊 汤姆猫啊 植物大战僵尸啊 斯巴达战士啊 阿凡达啊 水果忍着 和大家熟知的小鸟 都运行冒得问题 罪恶都市2运行的贴图有问题 所以没有玩。至于软件 什么QQ啊UC都可以用，系统自带的浏览器看网页跟电脑一样。很8错。系统滑动也很流畅~~~~可以使用平板电脑的PAD版的QQ,个人比较喜欢 3400入手的，一个星期体验，也很不错，跟苹果比起来 外观也毫不逊色，功能也不差	 就是不能升级安卓。是个问题 希望移动能关注这款机子便是把OSM系统升级一下，也可以的。更希望能够升级安卓2.2或者2.3因为安装软件都在机身内部。。。很不方便。。OMS是基于2.1开发的，而2.2才能选择安装在外部的SD卡上。	 总的来说，3000多块钱，买这么一款手机，很不错了！
 三星I9018（Galaxy S）	 2011-07-26 164515	 3D游戏毫无压力，屏幕特效高，CPU还不错，运行速度也不赖，外观时尚。	 屏幕周边的框框有点散，按下去，有吱吱的声音（配个套套就好了）、灯光不足是相机的致命点,游戏玩久了会发热，4.0的大屏、不方便、费电。	 I9000是一款不错的手机，黑幕太多，建议找熟人购买
 三星I9018（Galaxy S）	 2011-07-26 155612	 屏幕不大不小。	 我刷的是2.3系统所以待机目前最多2天。以前最多3天音质一般，毕竟不是音乐手机不过听歌足够了我的是韩版。所以必须要刷机，否则速度太慢！我朋友的港行的没有刷，速度都还可以韩版不能发彩信！	 这部机器刚开始就和IP4开比 的，但很多硬件方面是比不上的这个没有什么较真。但就目前价位来看已经可以出手了。
 三星I9018（Galaxy S）	 2011-07-14 094422	 比我两年前450块买的山寨三星手机确实强多了。看着很高档，到街头小店里去买个数据线，老板娘拿去欣赏了半天，不停追问，要好几千吧？	 设计愚蠢！不接听来电设计成什么短信拒接，还不能取消！稍不注意就发短信出去，自己还不知道！接听电话的时候老有震动杂音，后来弄明白了，是移动电视天线在管子里震动！不能升级系统，不支持刷机！耳机和麦克风简直就是摆设，还不如十八年前俺在学校门口买的叁块钱的随身听耳机效果好，声音大！关于手机使用问题，打电话给10086，所谓的专席服务员一致表态：我们不清除，不知道，不明白，请致电三星客服！	 花钱我肯定不会买！交话费送的，凑合用吧！两年後就扔！
 三星I9018（Galaxy S）	 2011-07-13 171133	 1. 4.0英寸SuperAMOLED屏幕，800*480分辨率；	 1. 做工真的不行，塑料的外壳，机子很轻；	 优点：1.屏幕材质没的说了，显示清晰，在室外使用都能看得清晰，我之前的手机做不到；
 三星I9018（Galaxy S）	 2011-07-12 185659	 机身薄，屏幕材质好，阳光下可直视，屏幕大看得清楚，屏幕分辨率高，亮度高而且很省电，CPU频率高，处理速度快，机身内存大运行大型游戏很流畅，造型时尚，性价比高，价格便宜，做工很好，拍照很清晰，带前置摄像头。	 待机时间短，没有闪光灯，发热量大。	 以I9000这样的配置在这个价格区间绝对秒杀任何机型，旗舰手机价格亲民，配置高端，可以说是一款完美的手机。
 三星I9018（Galaxy S）	 2011-07-10 164859	 优点大概就是网上说的那些。首先外观很漂亮 。9.9毫米的厚度看起来很薄，四个角的圆弧形设计也很有观赏性。4.0的屏拿在手里很合适。男生一只手基本可以完成所有操作。屏幕，超炫屏色彩鲜艳，显示效果突出。玩游戏比较流畅，gt racing和nfs都是可以完美运行的发热情况良好，没有太差也没有太好	 下面主要说说缺点。1，材质。我很想知道i9k为什么要用塑料后盖。。。整体偏轻，才108g啊！像这种大屏机，150 不为过2，装软件之后，运行起来已经没有以前那么流畅了，即使是日常操作有时都会有轻微的卡，运存这么大，cpu主频那么高，还是出现这种情况，不知道是网上说的三星机子高配低能，还是是安卓机的共性。。。3，屏幕太亮，即使是调到最低还是很亮，为了省电，无奈下了护目镜，再把屏幕调暗了点4，基带的软件不是太能满足需求。像音乐播放器，界面，功能，适用性都不能满足我，无奈还是得下ttpod。一款手机的基带配置如果设计的很好的话，便会提升整个机子的性能，口碑也会上去。我还是很倾向于试用手机自带软件的，首先稳定性就好于其他软件。5，买来3个月了，死机六七次，个人觉得挺高的了。因为是安卓嘛，每一个程序都会映射一个虚拟机，所以单个程序的出错不会导致整个系统的崩溃。死机这么频繁，可能也与电池温度太高有关。	 总之还是很好的一款手机，性能拿到现在来看，还是很牛的，毕竟出的早
 三星I9018（Galaxy S）	 2011-07-09 102624	 运行流畅，屏幕色彩真的很绚丽。	 WIFI信号较差，较薄，没有闪光比较遗憾。	 4寸的屏用着正好
 三星I9018（Galaxy S）	 2011-07-06 173213	 屏幕色彩艳丽，系统流畅，手感不错。	 没有闪光灯，今天上午无缘无故自动关机了次，塑料感强。SIM卡通讯录导进来，缺少详细，很多有2个号码的联系人，一下子变成了只有一个号码。	 总体还不错吧，只是有些小细节不尽人意。我昨天买的，欧版的，刷的是4.3.3港版官方，解锁ROOT了。还不错，除了上午那次自动关机。搞到现在还没弄明白咋回事。
 三星I9018（Galaxy S）	 2011-07-03 114714	 大屏 没网上说的颗粒感很严重,很薄 带个套刚好合适  及时放在现在硬件配置依然主流.	 这个电确实用的太快,好的ROM待机还不错.  一用起来那就是直接狂掉了, 大屏安卓机普遍问题.	 总的来说值得入手 现在涨价加翻新泛滥 有能力识别最好 怕翻新的可以换其他机型 毕竟都出了这么久了
 三星I9018（Galaxy S）	 2011-07-02 140552	 超炫屏i9000那真不是盖得 4.0的Super AMOLED全球最炫屏幕首先色彩鲜艳 对比度 真实度很完美红的时候娇艳欲滴 绿的时候绿油油的游戏效果 540的显卡的确厉害 不管玩什么3D游戏还没卡过三个字 很强大 不过个别游戏由于显卡太强大又没限制帧数导致游戏速度过快这点很让人汗颜不过以后肯定可以软件解决的吧	 缺点： 由于屏幕炫大 容易沾指纹 续航表现一般 电池不耐用是大屏手机的职业通病了 全塑胶的后盖很是脆弱盖捧在手上真怕有些闪失 必须当宝贝呵护着	 该出手时绝不让机会溜走现在3千价格已经让人啧啧感言了强机 总体性能不错 。 萝卜 青菜 各有所爱 真实感受 绝不吹嘘 好与不好自有定数 心态很重要 新机 心机。。
 三星I9018（Galaxy S）	 2011-06-28 212954	 SA屏，A8处理器，1GHZCPU,8G内存，4.0屏幕，3D大型游戏不再话下，那叫一个爽！！！	 易粘指纹，电池不行，闪存卡里的资料莫名其妙的丢失，	 这个价位的机器性价比很高，值得买，6月初郑州2480买的，现在好像涨价了，不知怎么回事
 三星I9018（Galaxy S）	 2011-06-27 154329	 硬件配置在这个价位的机器上来说中规中矩，操作基本没有延迟，屏幕尺寸大，操作起来比较方便。	 外观略显老气，另外钢琴烤漆会轻易的变成指纹收集器，年轻人选择可能需要慎重一些了。	 如果你不注重外观或者比较喜欢成熟稳重的机型的话，这款手机是不错的选择，硬件配置方面在同价位机器里算比较有优势，完全对的起价格，大屏幕操作起来也比较舒服。
 三星I9018（Galaxy S）	 2011-06-26 101831	 感觉还是不错的 因出故障所以只能是一船吧	 只是我手机才用不到一个月就出现了屏忽明忽暗的，颜色变淡，且图像不清晰，不知道是什么原因呢	 刚玩出点意思，因出故障所以只能是一船吧
 三星I9018（Galaxy S）	 2011-06-21 224256	 1.A屏，看过了才知道什么是A屏，当初我就是看过后才决定抛弃G12改入手9000的。	 1.手机较薄，我加了个套后感觉正好。	 入手绝不后悔，绝对值得推荐！！！！！！！！！！！！！
 三星I9018（Galaxy S）	 2011-06-16 110110	 视觉效果不错，机身也很漂亮，屏幕大，玩游戏方便	 电池不经用已经不用说了，最让我我头疼的是每次登QQ会在桌面创建快捷方式，后来恢复出产设置问题没有先前那么严重但还是存在，这应该和做了data2nand有关系吧，只有做了data2nand之类动作才出现的吧。我买了这个手机也换成3G卡了，玩三国杀会卡机，还有机子本带了QQ安全助手和360以及一些功能一样的软件。	 总体来说还是一款不错的机子，可以考虑买噢
 三星I9018（Galaxy S）	 2011-06-09 105319	 屏幕和配置，完全对得起价格，外观好看	 手机做工不行，主要是那个边框和后盖，居然拿手里会响	 9020如果能买到就最好，G10也是不错的选择
 三星I9018（Galaxy S）	 2011-06-03 123804	 大屏幕；屏幕材质决定了显示效果很好；玩游戏很流畅	 1、电池不耐用；2、分量轻，不过加个网壳可以弥补，也保护了后盖；3、wifi信号太差，同样的距离Nokia60%信号，9000却只有1格还断断续续；4、耳机机控不好用，比如收音机没法换台，换台直接跳到音乐了。5、游戏稍微长点就感到发烫。	 总体上还是很满意的，5月份机，没有电流音，淘宝入手！！
 三星I9018（Galaxy S）	 2011-05-29 095008	 毕竟是去年的旗舰机型，各方面表现还是不错的。以前用过m8，想买m9，结果换了个9k，9k硬件配置上确实不错，在操作上基本没延时，玩游戏有不错的表现。rom很多，喜欢玩机的朋友很爽。	 外放音质确实有点垃圾，并不是我追求音质。。机身太轻，手感不是很好。。。	 没有入手m9，入手了i9000不后悔。很多网友说到电流声，屏幕有颗粒，这些问题我都有发现，不过我觉得无大碍。如果2k5左右入手到全新机，还是很不错的。
 三星I9018（Galaxy S）	 2011-05-26 000046	 4寸的屏幕确实很惊艳，外观还是不错的，拍照效果比想象中的要好。I9000配置还是很给力的，入手半个月还没死过机。本人不怎么游戏，电池大概可以用了两天。	 每次换电池的时候，摸着那薄薄的塑料后盖，总有种感觉会就这么坏掉= =。音乐的外放真的不怎样。。。。。	 总的来说还是不错的~手机嘛，买自己够用就好了。
 三星I9018（Galaxy S）	 2011-05-23 145407	 非要说优点。我觉得就个屏有点心理安慰。。。。。。	 缺点太多了。第一。这款手机我觉得更适合女生用。超薄。秀气。做工确实很稀烂。全身塑料外壳。后盖下电池我都怕把他弄坏了。由于太薄了。又是塑料外壳。所以拿在手上很容易打滑。第二就是外放。外放那真稀烂不到哪去了。除了音量小外。外放的音质跟山寨机没什么区别。而且插耳机会有电流声。特别耳机看视频时。电流声巨大。目前购机1天。就发现这么多毛病。反正我是准备休息加点钱换别的机了。三星这款确实手感上太稀烂了。	 除了屏。我没发现在同价位。同配置上任何优点。
